Rank,Name,Symbol,ID
1476,Memetic / PepeCoin,MEME,1191
2447,Independent Money System,IMS,1194
1922,NevaCoin,NEVA,1200
2340,PosEx,PEX,1209
2448,Cabbage,CAB,1210
2236,MojoCoin,MOJO,1212
109,Lisk,LSK,1214
2265,EDRCoin,EDRC,1216
2304,PostCoin,POST,1218
2213,BERNcash,BERN,1223
504,DigixDAO,DGD,1229
160,Steem,STEEM,1230
2344,FuzzBalls,FUZZ,1241
1546,HiCoin,XHI,1244
1925,AquariusCoin,ARCO,1247
2377,Bitcoin 21,XBTC21,1248
3477,Zurcoin,ZUR,1250
2088,2GIVE,2GIVE,1252
2458,PlatinumBAR,XPTX,1254
1751,LanaCoin,LANA,1257
2503,PonziCoin,PONZI,1259
2382,MarteXcoin,MXT,1266
2275,Citadel,CTL,1273
51,Waves,WAVES,1274
1600,PWR Coin,PWR,1279
2027,ION,ION,1281
2397,High Voltage,HVCO,1282
2235,GoldBlocks,GB,1285
2443,Comet,CMT,1291
1504,Rise,RISE,1294
2021,ChessCoin,CHESS,1297
493,LBRY Credits,LBC,1298
2064,PutinCoin,PUT,1299
2150,Cryptojacks,CJ,1306
1428,HEAT,HEAT,1308
624,Steem Dollars,SBD,1312
156,Ardor,ARDR,1320
19,Ethereum Classic,ETC,1321
1618,Karbo,KRB,1340
142,Stratis,STRAX,1343
4548,Aces,ACES,1351
2380,TajCoin,TAJ,1353
2407,Veltor,VLT,1368
29,Neo,NEO,1376
1767,Bitcloud,BTDX,1381
3780,NoLimitCoin,NLC2,1382
2409,Zayedcoin,ZYD,1389
1018,Pluton,PLU,1392
2424,Dollarcoin,DLC,1395
2359,MustangCoin,MST,1396
4549,PROUD Money,PROUD,1398
3891,FirstBlood,1ST,1403
1026,SingularDTV,SNGLS,1409
321,Firo,FIRO,1414
2012,Advanced Technology Coin,ARC,1434
50,Zcash,ZEC,1437
2034,AllSafe,ASAFE,1439
1434,ZClassic,ZCL,1447
4203,Lykke,LKK,1454
138,Golem,GLM,1455
2010,Internet of People,IOP,1464
2095,Veros,VRS,1465
2071,Hush,HUSH,1466
2056,Kurrent,KURT,1468
1441,Pascal,PASC,1473
1703,Eternity,ENT,1474
1359,Incent,INCNT,1475
1775,DECENT,DCT,1478
2203,vSlice,VSL,1483
581,Obyte,GBYTE,1492
2069,PoSW Coin,POSW,1495
2469,Luna Coin,LUNA,1496
1088,Wings,WINGS,1500
1354,Jupiter,JUP,1503
4539,InflationCoin,IFLT,1504
3963,Alias,ALIAS,1505
2230,CryptoCarbon,CCRB,1510
2224,PureVidz,VIDZ,1511
2351,ICOBID,ICOB,1514
2464,iBank,IBANK,1515
43,Maker,MKR,1518
172,Komodo,KMD,1521
2063,FirstCoin,FRST,1522
1475,Waves Community Token,WCT,1527
2488,Iconic,ICON,1528
1598,Global Cryptocurrency,GCC,1531
2387,Centurion,CNT,1546
292,Enzyme,MLN,1552
1044,Chrono.tech,TIME,1556
2507,Argus,ARGUS,1558
1864,Swarm City,SWT,1562
81,Nano,NANO,1567
2467,MiloCoin,MILO,1576
1390,Zero,ZER,1578
1938,Netko,NETKO,1582
267,Ark,ARK,1586
769,Dynamic,DYN,1587
1447,Tokes,TKS,1588
1396,Mercury,MER,1590
1757,Edgeless,EDG,1596
4550,Mavro,MAVRO,1599
1694,Universe,UNI,1605
1913,Solaris,XLR,1606
1492,Asch,XAS,1609
1896,DubaiCoin,DBIX,1611
569,Skycoin,SKY,1619
4551,BlazerCoin,BLAZR,1623
1849,Atmos,ATMOS,1624
1950,Zennies,ZENI,1629
2453,Coinonat,CXT,1630
2512,Concoin,CONX,1632
1528,XTRABYTES,XBY,1636
113,iExec RLC,RLC,1637
1724,WeTrust,TRST,1638
2471,SpeedCash,SCS,1651
2741,BitCore,BTX,1654
2480,Bitvolt,VOLT,1657
1795,Lunyr,LUN,1658
150,Gnosis,GNO,1659
1074,Monolith,TKN,1660
1479,Humaniq,HMQ,1669
1453,Minereum,MNE,1673
2492,Cannation,CNNC,1674
1758,CREA,CREA,1676
4475,Etheroll,DICE,1677
2060,InsaneCoin,INSN,1678
158,Aragon,ANT,1680
505,PRIZM,PZM,1681
69,Qtum,QTUM,1684
2353,Digital Money Bits,DMB,1687
2501,Project-X,NANOX,1691
2257,Theresa May Coin,MAY,1693
1282,Sumokoin,SUMO,1694
72,Basic Attention Token,BAT,1697
84,Horizen,ZEN,1698
391,Aeternity,AE,1700
791,Metaverse ETP,ETP,1703
965,eBoost,EBST,1704
864,Aidos Kuneen,ADK,1706
1577,Patientory,PTOY,1708
559,Veritaseum,VERI,1710
4278,Electra,ECA,1711
754,Quantum Resistant Ledger,QRL,1712
1595,MobileGo,MGO,1715
1851,Peerplays,PPY,1719
33,IOTA,MIOTA,1720
962,Mysterium,MYST,1721
2068,More Coin,MORE,1722
302,SONM,SNM,1723
4552,Adelphoi,ADL,1725
1721,ZrCoin,ZRC,1726
86,Bancor,BNT,1727
2316,GlobalToken,GLT,1731
148,Numeraire,NMR,1732
2389,Unify,UNIFY,1736
3982,Dinastycoin,DCY,1745
2350,Onix,ONX,1747
458,GXChain,GXC,1750
2149,ATC Coin,ATCC,1751
2258,Bitradio,BRO,1754
4310,Flash,FLASH,1755
153,FUNToken,FUN,1757
783,TenX,PAY,1758
121,Status,SNT,1759
146,Ergo,ERG,1762
2481,BriaCoin,BRIA,1763
21,EOS,EOS,1765
354,AdEx Network,ADX,1768
1465,Denarius,D,1769
1850,DAOBet,BET,1771
133,Storj,STORJ,1772
2460,SocialCoin,SOCC,1774
1847,adToken,ADT,1775
173,MCO,MCO,1776
1610,CryptoPing,PING,1777
785,Wagerr,WGR,1779
4222,Polybius,PLBT,1784
356,Gas,GAS,1785
1264,SunContract,SNC,1786
1858,Jetcoin,JET,1787
199,Metal,MTL,1788
290,Populous,PPT,1789
2321,Rupee,RUP,1799
4553,PeepCoin,PCN,1803
862,Santiment Network Token,SAN,1807
89,OMG Network,OMG,1808
1009,CVCoin,CVN,1810
818,Metrix Coin,MRX,1814
163,Civic,CVC,1816
111,Voyager Token,VGX,1817
2371,BitCoal,COAL,1824
786,Particl,PART,1826
802,SmartCash,SMART,1828
2122,SkinCoin,SKIN,1830
10,Bitcoin Cash,BCH,1831
877,Pillar,PLR,1834
1909,OracleChain,OCT,1838
3,Binance Coin,BNB,1839
1926,Primalbase Token,PBT,1841
1561,IXT,IXT,1845
2358,GeyserCoin,GSR,1846
2330,Cream,CRM,1850
807,OAX,OAX,1853
312,district0x,DNT,1856
1804,Stox,STX,1861
706,Blox,CDT,1864
